"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LA16c-358B7.3.1",0.518698309778729,1.54470606557876,2.25741350565692,0.0320413666935978,0.403310229840667,-3.50226016663094
"C14orf129",0.607439067518639,2.18225192174179,2.25734457893149,0.0320461962940661,0.403310229840667,-3.50237077063413
"OBFC2A",0.67008280906897,5.04170439126099,2.2567877737209,0.032085234993932,0.403310229840667,-3.50326417582169
"GPR35",-0.560739724001818,3.20557804873376,-2.25625902989546,0.0321223460291706,0.403310229840667,-3.50411242706516
"FAM18B1",0.589491419337206,1.86330311521317,2.25595443976175,0.0321437419525682,0.403310229840667,-3.50460101681768
"AC005412.1",0.579687327282111,1.34893352189349,2.25591107076723,0.0321467894531148,0.403310229840667,-3.5046705811645
"LY96",0.895166171651102,4.01915901148085,2.25570804851153,0.0321610591176498,0.403310229840667,-3.50499621986876
"FNIP1",0.591455313985792,2.85300360151844,2.25514752574833,0.0322004858544093,0.403310229840667,-3.50589517737569
"AC093503.1",1.01089295087327,1.14805358392712,2.25323284850101,0.032335492325997,0.403608708093617,-3.50896484079476
"CHPT1",0.539544521176762,4.9486952173612,2.25259565124262,0.0323805352317695,0.403608708093617,-3.50998604720406
"PIK3R6",-0.51350781039961,3.17490069276465,-2.24877290419039,0.0326519536571565,0.405998843535371,-3.51610874542903
"LRRK2",0.774880749172438,4.91761965138294,2.24831938367755,0.0326842899594919,0.405998843535371,-3.51683468869623
"SLC38A2",0.617921907445188,3.8020189490574,2.24650007322083,0.0328142987885321,0.406003658433106,-3.5197458972268
"ZNF230",0.517679851982061,1.37925661873179,2.24630889053456,0.0328279878696754,0.406003658433106,-3.52005173546663
"AL136419.1",0.557821593600924,1.12611017878002,2.24629606999697,0.0328289060314568,0.406003658433106,-3.52007224411065
"AC233264.5",0.686396190735319,0.61740393276782,2.24486259831362,0.0329317125421732,0.406764602203432,-3.52236485874118
"STEAP4",0.759851902951179,4.57515038514033,2.2432794171911,0.0330455936136495,0.406764602203432,-3.52489583003009
"SPNS3",-0.698346417205759,3.00382580872371,-2.24130904729244,0.0331878222082482,0.406909160869626,-3.52804419991153
"NUS1P1",0.543442557363278,1.98395484372439,2.2383907661175,0.0333994894764504,0.407166175979243,-3.5327039623156
"PHTF1",0.594139485613795,2.63033061390776,2.23802151253772,0.0334263585982962,0.407166175979243,-3.53329329207399
"RP11-23P13.6.1",-0.759502641225917,2.49337354634264,-2.23749942787695,0.0334643819048403,0.407166175979243,-3.53412643497501
"ADD3",0.584282225019045,4.96453781564533,2.23734479653684,0.0334756511559381,0.407166175979243,-3.53437317195454
"RP11-232D9.1.1",0.643737970772196,1.86337608039014,2.23573836473194,0.0335929276271543,0.408171386612001,-3.53693582649607
"NAAA",0.511291455625345,5.70085576505252,2.23483545955468,0.0336590061386064,0.408413215820335,-3.53837566749879
"TMEM188",0.594626618026122,3.80408020022651,2.23232361781607,0.0338434505847678,0.4095266001972,-3.54237928817301
"RP11-452K12.4.1",0.610039844565393,2.65984150967243,2.22895189553721,0.0340924683469523,0.410943402116643,-3.54774894925894
"AC093627.9.1",0.688045837296348,0.602561425961716,2.22658213387107,0.0342684733783215,0.410943402116643,-3.55151982410983
"RP11-5N23.3.1",0.61576923601296,0.852148817142202,2.22635384771797,0.0342854716221232,0.410943402116643,-3.55188294806408
"AC003043.2.1",-0.778790720472191,6.68060368476975,-2.2246411859597,0.0344132393084344,0.410943402116643,-3.5546064373392
"DSTNP1",0.723787533888505,1.08978619959773,2.22142583121428,0.034654269650962,0.411606601533861,-3.55971589279216
"APITD1-CORT",-0.673840097073079,0.533345090500279,-2.22109857702391,0.0346788864180489,0.411606601533861,-3.56023566003868
"TRAV5",-0.750570289869217,2.75892098317088,-2.21795007243723,0.0349165294494038,0.411938154244918,-3.5652338157463
"GIMAP7",0.500884038252773,5.78058578897504,2.21584450678125,0.0350762704577839,0.413165573347219,-3.56857379495656
"ZNF514",0.81096184052033,2.07517867954736,2.21492394312568,0.0351463164334196,0.413407670143995,-3.57003340926219
"HBA1",-0.672875328242748,14.6327818948108,-2.214168474559,0.0352038942894395,0.413638966099616,-3.57123096285074
"AL953854.2.1",0.655863270618315,1.07780625467518,2.21231673124458,0.0353453836329826,0.41450815074461,-3.57416519658386
"MT1XP1",-0.707758881747724,4.87256653074691,-2.21026319621522,0.0355028897581963,0.415778177587443,-3.57741733547281
"CARNS1",-0.535056289278466,2.19716576437556,-2.20998554165798,0.0355242342466109,0.415778177587443,-3.57785690155376
